Review,Liked
Great team and support for individuals,1
I love Google a lot,1
it's a great place to work!,1
Awesome job environment to work in,1
I like and learned from the beginning accounting,1
#NAME?,1
Very inspiring engineers to work with.,1
#NAME?,1
The people are awesome. Lots of perks. Reduce administrative burdens. The food is great. There's a wide variety of tasks.,1
"Great place to work, free food, and great culture.",1
"Flexible timings, surrounded by technical experts and platform to grow and new ideas",1
"So many brilliant people Tons of resources Working on amazingly cool technologies Great culture - they really care about employees, actively ask for feedback, and act on it (e.g. Set corporate OKR's to improve on problem issues)",1
is very good. is very very good,1
"Great place to work, learn new things, grow and innovate. Able to maintain a respectful and healthy workplace culture despite the recent press.",1
Google is one of the best Company in the world,1
Nice perks. Good work life balance,1
Good work and life balance,1
Better than average engineers. Competitive compensation.,1
"Google’s perks are great: free food, shuttle to work, stock options, fun offices and amenities. The company is also full of really smart people that I’m constantly learning from.",1
"The best company I've worked for. Culture, perks, the way people are treated. Very thankful for this experience.",1
Easy place and people are nice,1
"Amazing compensation + benefits (hard to beat in Seattle), office space is cozy. Lots of autonomy. Taking initiative on important things is heavily rewarded.",1
Never have to skip a paycheck.,1
"Ambitious mission, great colleagues, supportive atmosphere.",1
"Good opportunities for different technical experiences, good work-life balance, good compensation, great coworkers",1
"Great pay, good food, fun employees",1
